id_str,from_user,text,created_at,time,geo_coordinates,iso_language_code,to_user,to_user_id_str,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,status_url,entities_str
265487520140234752 ,trevormunoz,UNC wants to allow scholars to do 400 digital projects (w/ and w/out grant funding)—scale up to serve all faculty #dlfforum,"Mon, 05 Nov 2012 16:15:31 +0000",05/11/2012 16:15:31,,en,,0,16149989,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/2263431147/headshot2_normal.jpg,http://twitter.com/trevormunoz/statuses/265487520140234752,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[114,123]}],""user_mentions"":[]}"
265487409171554304 ,JMarkOckerbloom,UM: We thought we were doing mass digitization with Making of America.  Then came Google... #dlfforum,"Mon, 05 Nov 2012 16:15:05 +0000",05/11/2012 16:15:05,,en,,0,40326609,,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a0.twimg.com/profile_images/518269961/OckerbloomColor_normal.jpg,http://twitter.com/JMarkOckerbloom/statuses/265487409171554304,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[92,101]}],""user_mentions"":[]}"
265487343845265409 ,BradleyDaigle,"jenlrile  has tribbles, we have manuscript collections - a very similar and promiscuously procreative problem set! #dlfforum","Mon, 05 Nov 2012 16:14:49 +0000",05/11/2012 16:14:49,,en,,0,298112917,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/1353305594/eye_normal.jpg,http://twitter.com/BradleyDaigle/statuses/265487343845265409,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[115,124]}],""user_mentions"":[]}"
265487220444635137 ,jvinopal,Oh me too! Finally! RT @mchris4duke: Slept well last night. Look out  #dlfforum,"Mon, 05 Nov 2012 16:14:20 +0000",05/11/2012 16:14:20,,en,,0,77043235,,&lt;a href=&quot;http://sites.google.com/site/yorufukurou/&quot;&gt;YoruFukurou&lt;/a&gt;,http://a0.twimg.com/profile_images/2633632203/bba92a88b38585ef1b4e44719c4d6a63_normal.jpeg,http://twitter.com/jvinopal/statuses/265487220444635137,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[70,79]}],""user_mentions"":[{""id"":14093339,""name"":""Chris Bourg"",""indices"":[23,35],""screen_name"":""mchris4duke"",""id_str"":""14093339""}]}"
265487056904531969 ,librarylarissa,"And we start the morning with a Tribbles slide in the Projects, partnerships and collaboration session #dlfforum","Mon, 05 Nov 2012 16:13:41 +0000",05/11/2012 16:13:41,,en,,0,32520413,,&lt;a href=&quot;http://twitter.com/#!/download/ipad&quot;&gt;Twitter for iPad&lt;/a&gt;,http://a0.twimg.com/profile_images/1077377670/fog_normal.jpg,http://twitter.com/librarylarissa/statuses/265487056904531969,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[103,112]}],""user_mentions"":[]}"
265486976994639873 ,mchris4duke,What? Scholars not concerned about long-term preservation? Say it ain't so ... @jenlrile  #dlfforum,"Mon, 05 Nov 2012 16:13:22 +0000",05/11/2012 16:13:22,,en,,0,14093339,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/2806518506/2e5b1781cb7182f118b4f5aa24b96d4b_normal.jpeg,http://twitter.com/mchris4duke/statuses/265486976994639873,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[90,99]}],""user_mentions"":[{""id"":22024025,""name"":""Jenn Riley"",""indices"":[79,88],""screen_name"":""jenlrile"",""id_str"":""22024025""}]}"
265486897604857856 ,trevormunoz,"Goals for UNC: sustainability, which @jenlrile helpfully defines as keeping select content available &amp; in usable interface #dlfforum","Mon, 05 Nov 2012 16:13:03 +0000",05/11/2012 16:13:03,,en,,0,16149989,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/2263431147/headshot2_normal.jpg,http://twitter.com/trevormunoz/statuses/265486897604857856,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[127,136]}],""user_mentions"":[{""id"":22024025,""name"":""Jenn Riley"",""indices"":[37,46],""screen_name"":""jenlrile"",""id_str"":""22024025""}]}"
265486870576775168 ,jean_bauer,"@ jenlrile starts her talk ""From Projects to ... Services"" with a shot of Captain Kirk covered in tribbles.  Love it! #dlfforum","Mon, 05 Nov 2012 16:12:57 +0000",05/11/2012 16:12:57,,en,,0,126928429,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/778729771/DSC_0406_normal.jpg,http://twitter.com/jean_bauer/statuses/265486870576775168,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[118,127]}],""user_mentions"":[]}"
265486707997171712 ,sshreeves,RT @gworthey: Tribbles are WAY harder to fight than Klingons. Never thought of that! @jenlrile #dlfforum,"Mon, 05 Nov 2012 16:12:18 +0000",05/11/2012 16:12:18,,en,,0,14077727,,&lt;a href=&quot;http://tapbots.com/tweetbot&quot;&gt;Tweetbot for iOS&lt;/a&gt;,http://a0.twimg.com/profile_images/2287947262/x7meux8p1wiayvjagh6h_normal.gif,http://twitter.com/sshreeves/statuses/265486707997171712,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[95,104]}],""user_mentions"":[{""id"":14084406,""name"":""Glen Worthey"",""indices"":[3,12],""screen_name"":""gworthey"",""id_str"":""14084406""},{""id"":22024025,""name"":""Jenn Riley"",""indices"":[85,94],""screen_name"":""jenlrile"",""id_str"":""22024025""}]}"
265486612924870656 ,gworthey,Tribbles are WAY harder to fight than Klingons. Never thought of that! @jenlrile #dlfforum,"Mon, 05 Nov 2012 16:11:55 +0000",05/11/2012 16:11:55,,en,,0,14084406,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/1615977271/e-book-twit_normal.jpg,http://twitter.com/gworthey/statuses/265486612924870656,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[81,90]}],""user_mentions"":[{""id"":22024025,""name"":""Jenn Riley"",""indices"":[71,80],""screen_name"":""jenlrile"",""id_str"":""22024025""}]}"
265486596768415744 ,carlystrasser,.@LibSkrat Just learned what Tribbles are: http://t.co/BsEAfMnR my life is more complete. #dlfforum,"Mon, 05 Nov 2012 16:11:51 +0000",05/11/2012 16:11:51,,en,,0,190246525,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/1278320972/headshot4_normal.jpg,http://twitter.com/carlystrasser/statuses/265486596768415744,"{""urls"":[{""expanded_url"":""http://en.wikipedia.org/wiki/Tribble"",""indices"":[43,63],""display_url"":""en.wikipedia.org/wiki/Tribble"",""url"":""http://t.co/BsEAfMnR""}],""hashtags"":[{""text"":""dlfforum"",""indices"":[90,99]}],""user_mentions"":[{""id"":47360004,""name"":""Ondatra libskoolicus"",""indices"":[1,10],""screen_name"":""LibSkrat"",""id_str"":""47360004""}]}"
265486577491394561 ,mchris4duke,Slept well last night. Look out  #dlfforum,"Mon, 05 Nov 2012 16:11:47 +0000",05/11/2012 16:11:47,,en,,0,14093339,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/2806518506/2e5b1781cb7182f118b4f5aa24b96d4b_normal.jpeg,http://twitter.com/mchris4duke/statuses/265486577491394561,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[33,42]}],""user_mentions"":[]}"
265486531517620225 ,pilsks,If only I had silo in more than one space I'd be so bingo #dlfforum,"Mon, 05 Nov 2012 16:11:36 +0000",05/11/2012 16:11:36,,en,,0,7165422,,&lt;a href=&quot;http://www.tweetdeck.com&quot;&gt;TweetDeck&lt;/a&gt;,http://a0.twimg.com/profile_images/1827452592/FocusedClover_normal.jpg,http://twitter.com/pilsks/statuses/265486531517620225,"{""urls"":[],""hashtags"":[{""text"":""dlfforum"",""indices"":[58,67]}],""user_mentions"":[]}"
